Sl.no,Designation,Company,Experience,Location,More location,Working type,Category,Count of jobs
429,Data Scientist-Azure,ZF,2 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
430,Data Scientist (4+ years and NLP and Python),Mobile Programming LLC,1 to 2 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
431,Data Scientist,R3coder,1 to 5 Yrs, Gujarat,Ahmedabad,Regular,Data Scientist,1
432,Data Scientist (6+ Years Exp),Tecblic,7 to 11 Yrs, Gujarat,Ahmedabad,Regular,Data Scientist,1
433,Interesting  Opportunity Data Scientist - SQL/Python -  ...,Confidential Company,3 to 7 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
434,Pharma Data Scientist,QUISCON BIOTECH,0 to 1 Yr,Mumbai City,"Bangalore, Chennai, Hyderabad, Pune",Regular,Data Scientist,1
435,Principal Data Scientist,Reserve Bank Information Technology...,14 to 18 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
436,Data Scientist,ScaleIn,1 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
437,Data Scientist,Sapper Software,6 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
438,Lead Data Scientist- Immediate,Reflections Info Systems,8 to 12 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
439,Requirement for Data Analyst / Quality Check / Data Sci ...,Wave Global Services,5 to 10 Yrs,All India,Not Available,Regular,Data Scientist,1
440,Data Scientist,Aspire Systems,0 to 3 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
441,"Ph.D. Data Scientist (AI, NLP, NLU, Generative AI)",PTS Consulting Services,3 to 7 Yrs,Kolkata, West Bengal,Regular,Data Scientist,1
442,Interesting  Opportunity Senior Data Scientist - Machin ...,ProPMO Services Private Limited,10 to 12 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
443,"Generative AI Data Scientist - GGN, HYD, BLR",Genpact,3 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
444,Digital-Associate Process Manager-Data Scientist APM,eClerx,3 to 5 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
445,Co-Founder Data Scientist,Winningstrategy.ai,5 to 9 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
446,Data Scientist,VR Della it service,3 to 5 Yrs, Tamil Nadu,Tiruchirappalli,Regular,Data Scientist,1
447,Speech Recognition specialist(Data Scientist),KeyPoint Technologies,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
448,Data Scientist,Aureus Analytics,5 to 9 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
449,Data Scientist Associate,Ignitho,2 to 6 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
450,Sr. Data Scientist,Intuitive.Cloud,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
451,Data Scientist,XLSCOUT,2 to 6 Yrs,Chandigarh,Not Available,Regular,Data Scientist,1
452,Data Scientist,Top Investment Bank,14 to 18 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
453,Data Scientist-Marketing,Loyalytics AI,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
454,Data Scientist,XLSCOUT,2 to 6 Yrs,Chandigarh,Not Available,Regular,Data Scientist,1
455,Data Scientist,Top Investment Bank,14 to 18 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
456,Data Scientist-Marketing,Loyalytics AI,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
457,Data Scientist,AVE-Promagne Business Solutions,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
458,Senior Data Scientist - Machine Learning/Deep Learning,Xcel Hire Management Solutions,5 to 9 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
459,"Senior Data Scientist (Relocate to HCMC, VietNam)",MASAN Group,5 to 9 Yrs,Delhi,Not Available,Regular,Data Scientist,1
460,EY - GDS Consulting - D&A - Data Scientist - Staff,EY,5 to 8 Yrs,Kochi, Kerala,Regular,Data Scientist,1
461,Lead Data Scientist,LIVE CONNECTIONS PLACEMENTS PVT LTD,10 to 17 Yrs,Chennai,Not Available,Contractual,Data Scientist,1
462,Data Scientist - Artificial Intelligence/Machine Learni ...,IoT Programming,4 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
463,Manager- Talent Acquisition,JindalX,6 to 10 Yrs,All India,Not Available,Regular,Data Scientist,1
464,Data Analytics Engineer - Gen AI,Sourced Group an Amdocs Company,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
465,NLP Data Scientist,Thoucentric,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
466,Thoucentric - Data Scientist - Machine Learning,Thoucentric,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
467,Data Scientist / AI ML EngineerPD,Programming.com,4 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
468,NLP Data Scientist,ConcertAI,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
469,Data Scientist (Immediate Joiners-F2F Round of Intervie ...,Mobile Programming LLC,4 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
470,Data Engineer - OACS,LTIMindtree Limited,3 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
471,Data Scientist (Immediate Joiners-F2F Round of Intervie ...,Mobile Programming LLC,4 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
472,Data Engineer - OACS,LTIMindtree Limited,3 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
473,Data Scientist - Python/Machine Learning,Confidential Company,3 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
474,Azure Data Engineer,Alp Consulting Ltd.,3 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
475,Data Engineer,Transnational Software Services PVT...,3 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
476,Apache Atlas Data Governance and Data Catalog Engineer,Strategic Resources International I...,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
477,Business Intelligence Developer - Data Warehousing,SmartConnectt Technologies,3 to 7 Yrs, Maharashtra,Thane,Regular,Data Scientist,1
478,Azure Data Engineer,Numentica,3 to 10 Yrs,All India,Not Available,Regular,Data Scientist,1
479,Senior Data Engineer,Cyncly,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
480,Data Architect-Health Care,Saaki Argus And Averil Consulting,5 to 15 Yrs,All India,Not Available,Regular,Data Scientist,1
481,Data Scientist,VARITE INDIA PRIVATE LIMITED,1 to 2 Yrs,Bangalore,Not Available,Contractual,Data Scientist,1
482,Data Science,Infosys Limited,0 to 2 Yrs,Bangalore,Not Available,Regular,Data Scientist,1
483,Data Engineer - Azure Cloud,Forward Eye Technologies - India,4 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
484,Lead Business Intelligence Developer (power bi/tableau  ...,DiLytics,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
485,Data Scientist,VARITE INDIA PRIVATE LIMITED,1 to 2 Yrs,Bangalore,Not Available,Contractual,Data Scientist,1
486,Data Engineer,Outsized,4 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
487,Apache Atlas Data Governance and Data Catalog Engineer,Strategic Resources International I...,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
488,Azure Data Engineer,Numentica,3 to 10 Yrs,All India,Not Available,Regular,Data Scientist,1
489,Specialist - Data Sciences (Python + R + ML),LTIMindtree,5 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
490,Senior Data Engineer,Cyncly,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
491,Sr. Azure Data Engineer,RENOVISION AUTOMATION SERVICES PVT....,6 to 7 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
492,Data Architect-Health Care,Saaki Argus And Averil Consulting,5 to 15 Yrs,All India,Not Available,Regular,Data Scientist,1
493,Data Engineer,JIVATECHNOLOGIES,5 to 10 Yrs,Mumbai City,"Bangalore, Hyderabad, Kolkata",Regular,Data Scientist,1
494,Senior Data Specialist,System Soft Technologies,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
495,Data Engineer - Azure Cloud,Forward Eye Technologies - India,4 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
496,Analyst,XAVIER BRAIN ED TECH PRIVATE LIMITE...,2 to 6 Yrs,Noida, Uttar Pradesh,Regular,Data Scientist,1
497,GCP Data engineering + GenAI,T-Stone Technologies,5 to 10 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
498,Data Entry Operator,TECHFIX IT SERVICES,0 to 1 Yr,Chennai,"Hyderabad, Coimbatore",Remote,Data Scientist,1
499,Data engineer,AviinTech Business Solutions,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
500,AWS Redshift Data Engineer,Teamware Solutions a division of Qu...,6 to 10 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
501,Senior Data Scientist - Forecasting (India),AutoGrid,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
502,Data Engineer,Outsized,4 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
503,Data Analyst II (Salem - Office based),Syneos Health,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
504,Lead Data Science T500-10208,Kenvue,8 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
505,Principal Consultant - Data Engineering,Trinity Life Sciences,7 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
506,Data Engineer II,Flipkart,3 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
507,Head of Technology and Data Science,Precognitas,10 to 14 Yrs,Delhi,Not Available,Regular,Data Scientist,1
508,"Manager, Data Science",Mondelz International,10 to 14 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
509,Data Developer / Architect (Data Engineer),NTT DATA Services,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
510,"Senior Director, Data Solutions Engineering",Cond Nast Technology Lab,15 to 19 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
511,Specialist - Data Sciences (Python + R + ML),LTIMindtree,5 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
512,Sr. Azure Data Engineer,RENOVISION AUTOMATION SERVICES PVT....,6 to 7 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
513,Principal Data Engineer,NeoStats,6 to 10 Yrs,Kochi, Kerala,Regular,Data Scientist,1
514,Data Science Solution Architect,Tredence Inc.,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
515,GCP Data Engineer,Ramyoz,3 to 7 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
516,Head of Data Science (AD- Pharmacovigilance DS),Novartis India,10 to 14 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
517,Data Science Manager,Nissan Motor Corporation,8 to 12 Yrs, Kerala,Thiruvananthapuram,Regular,Data Scientist,1
518,Director / Sr. Manager  Data Science,AiDash,12 to 16 Yrs, Haryana,Not Available,Regular,Data Scientist,1
519,"Field Marketing Manager Data Analytics, APAC",Altair,3 to 5 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
520,Sr. Python Developer/ Data Engineer,Harmony Data Integration Technologi...,5 to 9 Yrs, Punjab,Not Available,Regular,Data Scientist,1
521,Data Science Manager,Solitaire Technologies,5 to 9 Yrs,Jaipur, Rajasthan,Regular,Data Scientist,1
522,Delivery Lead - Mfg,ReNew,10 to 15 Yrs, Haryana,Not Available,Regular,Data Scientist,1
523,Data Analyst,Brillius,3 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
524,Azure Data Engineer,AMBC Technologies,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
525,Interesting  Opportunity Data Engineer - Azure Data Fac ...,SKYGATE CONSULTING,3 to 7 Yrs, Haryana,Not Available,Regular,Data Scientist,1
526,Data Engineering Manager,Novartis India,7 to 11 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
527,Data Scientist,Fractal Analytics,3 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
528,Senior Manager - Data Engineering,PepsiCo,2 to 6 Yrs, Telangana,Not Available,Regular,Data Scientist,1
529,"DATA ANALYST (SQL,Python, Aws)",Coforge Ltd.,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
530,Senior Data Engineer,InfoVision Inc.,7 to 11 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
531,Junior Data Engineer,Adidas,2 to 6 Yrs, Haryana,Not Available,Regular,Data Scientist,1
532,Senior Data Engineer,Info Origin Inc.,8 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
533,Oracle Cloud FAW -Lead Consultant,Argano,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
534,DATA Engineer for Business Intelligent Based systems,MOL Information Technology,6 to 8 Yrs,Kolkata, West Bengal,Regular,Data Scientist,1
535,Data Analyst,Equity Data Science,1 to 3 Yrs,All India,Not Available,Regular,Data Scientist,1
536,Project Manager for Data Engineering & Data Science (PM ...,dSights,7 to 11 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
537,Data Engineer - OACS,LTIMindtree Limited,3 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
538,(IND) Data Analyst II,Walmart Global Tech India,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
539,Data engineer,Cloudester,2 to 6 Yrs, Gujarat,Vadodara,Regular,Data Scientist,1
540,Senior Manager Data Science-Products,Elevate,12 to 16 Yrs, Haryana,Not Available,Regular,Data Scientist,1
541,Data Architect - Data Science and Azure cloud,eInfochips (An Arrow Company),5 to 9 Yrs,Indore, Madhya Pradesh,Regular,Data Scientist,1
542,Junior Data Engineer,Adidas,2 to 6 Yrs, Haryana,Not Available,Regular,Data Scientist,1
543,Senior Data Engineer,Info Origin Inc.,8 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
544,Oracle Cloud FAW -Lead Consultant,Argano,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
545,Data Engineer-OBIEE,LTIMindtree Limited,5 to 10 Yrs,Gurugram,Bangalore,Regular,Data Scientist,1
546,DATA Engineer for Business Intelligent Based systems,MOL Information Technology,6 to 8 Yrs,Kolkata, West Bengal,Regular,Data Scientist,1
547,Gen AI- Developer,Infosys Limited,0 to 2 Yrs,Pune,Not Available,Regular,Data Scientist,1
548,Gen AI- Developer,Infosys Limited,0 to 2 Yrs,Bangalore,Not Available,Regular,Data Scientist,1
549,Data Engineer,JIVATECHNOLOGIES,5 to 10 Yrs,Mumbai City,"Bangalore, Hyderabad, Kolkata",Regular,Data Scientist,1
551,Data Analyst,Equity Data Science,1 to 3 Yrs,All India,Not Available,Regular,Data Scientist,1
552,Project Manager for Data Engineering & Data Science (PM ...,dSights,7 to 11 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
553,SAP Data Migration Technical Consultant,Infosys Limited,0 to 2 Yrs,Bangalore,Not Available,Regular,Data Scientist,1
554,Data Analyst,Infosys Limited,4 to 6 Yrs,Bangalore,Not Available,Regular,Data Scientist,1
555,(IND) Data Analyst II,Walmart Global Tech India,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
556,Data engineer,Cloudester,2 to 6 Yrs, Gujarat,Vadodara,Regular,Data Scientist,1
557,QA Automation Testing (4+ years),E2E Research Pvt. Ltd.,4 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
558,Senior Manager Data Science-Products,Elevate,12 to 16 Yrs, Haryana,Not Available,Regular,Data Scientist,1
559,Data Architect - Data Science and Azure cloud,eInfochips (An Arrow Company),5 to 9 Yrs,Indore, Madhya Pradesh,Regular,Data Scientist,1
560,Data Science Presales Architect,CES,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
561,Data Engineer,Tanla Solutions,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
561,Business Analyst,Entertainment,2 to 6 Yrs,All India,Not Available,Regular,Business Analyst,1
562,Business Analyst - Transport Planning,Palladium: Make It Possible,3 to 5 Yrs,Bhubaneswar,Not Available,Regular,Business Analyst,1
563,Business Analyst-5,Civica,5 to 9 Yrs, Gujarat,Vadodara,Regular,Business Analyst,1
564,Business Analyst,VAKIL SEARCH,4 to 6 Yrs,All India,Not Available,Regular,Business Analyst,1
565,Senior Business Analyst,Bigsun Technologies Pvt ltd.,2 to 3 Yrs,All India,Not Available,Regular,Business Analyst,1
566,Senior Business Analyst,ATA,10 to 14 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
567,Business Analyst - Payments/Cash & Liquidity Domain,Pricewaterhouse Coopers Private Lim...,2 to 6 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
568,Business Analyst/Project Coordinator,Digiflux Technologies Private Limit...,1 to 3 Yrs,All India,Not Available,Regular,Business Analyst,1
569,Sr Business Analyst,Vibhuti Technologies,5 to 9 Yrs,Chandigarh,Not Available,Regular,Business Analyst,1
570,Software Sales & Business Analyst,Vision Helpdesk,1 to 5 Yrs,All India,Not Available,Regular,Business Analyst,1
571,Technical Business Analyst,Wipro,2 to 6 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
572,Jr Business Analyst,AIS Technolabs Pvt Ltd,0 to 3 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
573,Business Analyst,SalesPropel,7 to 11 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
574,Business Analyst,Sundeus Technology,1 to 3 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
575,Senior Business Analysts / Business Analysts,Fingent,4 to 12 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
576,Business Analyst,VEERARAGHAVAN & CO,0 to 1 Yr,Mumbai City,Not Available,Regular,Business Analyst,1
577,Business Analyst - Immediate Joiner,Talentgigs,2 to 6 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
578,Business Analyst,Techno Derivation Pvt Ltd,2 to 6 Yrs,Jaipur, Rajasthan,Regular,Business Analyst,1
579,Business Analyst,Acuity Knowledge Partners,3 to 8 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
580,Business Analyst  Commodities (MUST HAVE COMMODITIES),Luxoft,5 to 9 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
581,iSON Xperiences - T24 Business Analyst,iSON Xperiences Pvt Ltd,5 to 9 Yrs,Chennai, Tamil Nadu,Regular,Business Analyst,1
582,Senior Business Analyst,KellyOCG,5 to 10 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
583,Business Analyst-Technical Writer,LTIMindtree,9 to 15 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
584,Business Analyst I (Data & AI),Worley,3 to 7 Yrs, Maharashtra,Navi Mumbai,Regular,Business Analyst,1
585,Business Analyst,Tagtalk,1 to 5 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
586,Business Analyst,Traveltriangle.com,1 to 4 Yrs, Haryana,Not Available,Regular,Business Analyst,1
587,Business Analyst,Prerna Trimurty Infotech Pvt. Ltd.,1 to 5 Yrs,Jaipur, Rajasthan,Regular,Business Analyst,1
588,Senior LMS Business Analyst,EVERSANA,10 to 14 Yrs,All India,Not Available,Regular,Business Analyst,1
589,Urgent Hiring for Business Analyst,Dainik Bhaskar Group,5 to 10 Yrs,Jaipur,Not Available,Regular,Business Analyst,1
590,IT Business Analyst & SAP Specialist,Samah co,1 to 5 Yrs,All India,Not Available,Regular,Business Analyst,1
591,Business Analyst with Supply chain management,Sysmedac,8 to 10 Yrs,Chennai, Tamil Nadu,Regular,Business Analyst,1
592,Senior Business Analyst- Bangalore-Hybrid,Broadridge India,5 to 7 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
593,"Lead Business Analyst, AVP",Deutsche Bank,5 to 10 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
594,Senior Business Analyst- Investment & Strategy,Aarvi Encon Pvt Ltd,8 to 12 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
595,Business Analyst / Project Manager,3nayan,10 to 14 Yrs,Chennai, Tamil Nadu,Regular,Business Analyst,1
596,Business Analyst,Servion Global Solutions,4 to 12 Yrs,Chennai, Tamil Nadu,Regular,Business Analyst,1
597,MBA Intern - Business Analyst,Brainvire Infotech Pvt. Ltd,0 to 4 Yrs,All India,Not Available,Regular,Business Analyst,1
598,Sr. Business Analyst,Assystem,5 to 9 Yrs, Haryana,Not Available,Regular,Business Analyst,1
599,Business Analyst,Think Exam - A Ginger Webs Company,4 to 7 Yrs,Gautam Buddha Nagar, Uttar Pradesh,Regular,Business Analyst,1
600,Business Analyst,Vrinsoft Technology Pvt. Ltd.,2 to 6 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
601,Senior Business Analyst,Anubavam,5 to 9 Yrs,Chennai, Tamil Nadu,Regular,Business Analyst,1
602,Business Analyst,OrangeMantra,5 to 9 Yrs, Haryana,Not Available,Regular,Business Analyst,1
603,Business Analyst should have exp in Finanace Project,Revalsys Technologies,2 Yrs,All India,Not Available,Regular,Business Analyst,1
604,Treasury Analytics Business Analyst,Luxoft,8 to 10 Yrs,All India,Not Available,Regular,Business Analyst,1
605,Business Analyst (Upto 20LPA CTC),Workassist,6 to 8 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
606,Business Analyst,Future Skills,2 to 6 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
607,Business Analyst - BFSI,Antier Solutions,0 Yrs, Punjab,Not Available,Regular,Business Analyst,1
608,Business Analyst,Data Peace AI Technologies,2 to 6 Yrs, Haryana,Not Available,Regular,Business Analyst,1
609,Sales Business Analyst,Yoga Bar (Sprout Life Foods),3 to 7 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
610,Immediate Joiner - Sr.Business Analyst (Temenos T-24) B ...,Thought Frameworks,5 to 8 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
611,Salesforce Business Analyst,Live Connections,5 to 7 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
612,"Partner- Business Analyst, Product Management",Apexon,12 to 16 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
613,Product Analyst/Business Analyst,Emgage,1 to 3 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
614,IT Business Analyst Whse/Prod,Krcher,3 to 7 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
615,Business Analyst,Creddinv Technologies Pvt Ltd,3 to 5 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
616,Business Analyst (Customs Domain),Adecco,7 to 10 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
617,Business Analyst,Promena,1 to 2 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
618,Business Analyst,Tata india,8 to 12 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
619,Business Analyst/ Senior Business Analyst,VT Netzwelt,3 to 7 Yrs, Punjab,Not Available,Regular,Business Analyst,1
620,Business Analyst,Clairvoyant,5 to 7 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
621,Sales Business Analyst,Yoga Bar (Sprout Life Foods),3 to 7 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
622,Immediate Joiner - Sr.Business Analyst (Temenos T-24) B ...,Thought Frameworks,5 to 8 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
623,Salesforce Business Analyst,Live Connections,5 to 7 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
624,"Partner- Business Analyst, Product Management",Apexon,12 to 16 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
625,Product Analyst/Business Analyst,Emgage,1 to 3 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
626,IT Business Analyst Whse/Prod,Krcher,3 to 7 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
627,Business Analyst,Creddinv Technologies Pvt Ltd,3 to 5 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
628,Business Analyst (Customs Domain),Adecco,7 to 10 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
629,Business Analyst,Promena,1 to 2 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
630,Business Analyst,Tata india,8 to 12 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
631,Business Analyst/ Senior Business Analyst,VT Netzwelt,3 to 7 Yrs, Punjab,Not Available,Regular,Business Analyst,1
632,Business Analyst,Clairvoyant,5 to 7 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
633,Insurance domain technical business analyst,Virtusa,5 to 9 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
634,"Senior Business Analyst, CSI",Disney Star,2 to 6 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
635,Business Analyst,jupitice justice technologies pvt. ...,5 to 8 Yrs, Haryana,Not Available,Regular,Business Analyst,1
636,Business Analyst/Lead Business Analyst - HR Analytics - ...,COE Solution Consulting LLP,5 to 9 Yrs, Haryana,Not Available,Regular,Business Analyst,1
637,Business Analyst- Servicenow,Solugenix,5 to 10 Yrs,All India,Not Available,Regular,Business Analyst,1
638,Sr. Business Analyst,Biztech Consultancy,5 to 8 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
639,Interesting  Opportunity Business Analyst - Business...,Alpha Orion,3 to 4 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
640,Business Analyst,Lampros Tech | Blockchain Developme...,2 to 3 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
641,Business Analyst - II,Simplify Healthcare,4 to 8 Yrs, Maharashtra,Pune,Regular,Business Analyst,1
642,"Senior Business Analyst, CSI",Disney Star,2 to 6 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
643,Business Analyst  Database Management,Momentum Metropolitan Services,8 to 10 Yrs, Maharashtra,Navi Mumbai,Regular,Business Analyst,1
644,Business Analyst,jupitice justice technologies pvt. ...,5 to 8 Yrs, Haryana,Not Available,Regular,Business Analyst,1
645,Business Analyst- Servicenow,Solugenix,5 to 10 Yrs,All India,Not Available,Regular,Business Analyst,1
646,Business Analyst/Lead Business Analyst - HR Analytics - ...,COE Solution Consulting LLP,5 to 9 Yrs, Haryana,Not Available,Regular,Business Analyst,1
647,Interesting  Opportunity Business Analyst - Business...,Alpha Orion,3 to 4 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
648,Business Analyst,Private Sector,2 to 6 Yrs, Haryana,Not Available,Regular,Business Analyst,1
649,Business Analyst,Mosachi,2 to 6 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
650,Business Analyst,Lampros Tech | Blockchain Developme...,2 to 3 Yrs, Gujarat,Ahmedabad,Regular,Business Analyst,1
651,Business Analyst B2C (Consumer Internet),AUR Consultant,3 to 7 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
652,Specialist Business Analyst,BirlaSoft,6 to 9 Yrs,All India,Not Available,Regular,Business Analyst,1
653,Business Analyst T500-10332,HME,5 to 9 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
654,Business Analyst,ECS Fin Inc.,2 to 6 Yrs, Kerala,Thiruvananthapuram,Regular,Business Analyst,1
655,Business Analyst - Product Development,CISPL- Comtech IT Solutions Private...,8 to 9 Yrs, Haryana,Not Available,Regular,Business Analyst,1
656,Business Analyst - ServiceNow CSM,ACCA Careers,3 to 5 Yrs,Hyderabad, Telangana,Regular,Business Analyst,1
657,Salesforce Business Analyst(Hands on 2+ Yrs),SBCS India,2 to 6 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
658,Project Business Analyst,GTS TechLabs,1 to 5 Yrs, Maharashtra,Not Available,Regular,Business Analyst,1
659,Assistant Manager - Business Analyst,Sea Hawk Travels Pvt Ltd,5 to 6 Yrs, Karnataka,Not Available,Regular,Business Analyst,1
